,Username,Followers,Likes Avg.,influencer_id,commission
0,cristiano,465027234,8671952.6875,1,0.01
1,kyliejenner,356687629,8296735.662500001,2,0.01
2,leomessi,347032978,6895177.8125,3,0.01
3,selenagomez,334551681,6252711.416666667,4,0.01
4,therock,327064138,1874150.5038461536,5,0.01
5,kimkardashian,323090977,3536820.0625,6,0.01
6,arianagrande,321374794,3712125.9285714286,7,0.01
7,beyonce,267023539,3627594.6666666665,8,0.01
8,khloekardashian,260359924,2391194.0,9,0.01
9,kendalljenner,247599374,5520992.5,10,0.01
10,justinbieber,247448517,1887637.6785714289,11,0.01
11,natgeo,232020700,304664.0,12,0.01
12,nike,228524022,333382.0,13,0.01
13,taylorswift,218097325,2397441.0,14,0.01
14,jlo,217547805,1691841.5,15,0.01
15,virat.kohli,206743723,3472381.5,16,0.01
16,nickiminaj,197697257,2161401.25,17,0.01
17,kourtneykardash,188868254,1767538.4642857143,18,0.01
18,mileycyrus,178122866,1311897.7,19,0.01
19,neymarjr,176162107,2705534.4857142856,20,0.01
20,katyperry,167005817,720700.2619047619,21,0.01
21,kevinhart4real,148755284,533486.9166666667,22,0.01
22,zendaya,147816903,5744110.0,23,0.01
23,iamcardib,137199449,3094440.722222222,24,0.01
24,ddlovato,136695965,1146626.6666666667,25,0.01
25,badgalriri,133436105,3691546.0,26,0.01
26,kingjames,127326148,2102660.333333333,27,0.01
27,theellenshow,123619409,424885.52218152216,28,0.01
28,realmadrid,121711711,1009067.5405982904,29,0.01
29,champagnepapi,116476688,1723164.25,30,0.01
30,chrisbrownofficial,115007167,465597.390625,31,0.01
31,fcbarcelona,109950457,1176560.049145299,32,0.01
32,billieeilish,104462435,8520777.666666666,33,0.01
33,dualipa,85085187,2091782.107142857,34,0.01
34,gal_gadot,83763785,1377079.5,35,0.01
35,vindiesel,81632030,1384972.6666666667,36,0.01
36,priyankachopra,80262430,1580291.6285714286,37,0.01
37,lalalalisa_m,79870794,5650260.5,38,0.01
38,nasa,78572117,1172499.9,39,0.01
39,shakira,75751033,973225.6166666666,40,0.01
40,gigihadid,74890004,2555316.25,41,0.01
41,snoopdogg,74552708,205719.22368421053,42,0.01
42,davidbeckham,74516736,1237162.25,43,0.01
43,shraddhakapoor,73424750,1609147.0,44,0.01
44,victoriassecret,73016997,148111.8363636364,45,0.01
45,k.mbappe,72335779,2454367.866666666,46,0.01
46,nehakakkar,70376999,1530347.0,47,0.01
